values,
2646.244145,1117
2702.123446,1118
2746.244762,1119
2779.130799,1120
2805.194679,1121
2826.086689,1122
2843.724621,1123
2856.532268,1124
2862.911086,1125
2858.470843,1126
2840.113347,1127
2803.704046,1128
2749.41144,1129
2679.062208,1130
2596.434745,1131
2508.47237,1132
2422.172436,1133
2346.199082,1134
2287.266444,1135
2238.129683,1136
2207.7867,1137
2182.428098,1138
2158.440911,1139
2131.24353,1140
2096.062863,1141
2052.029582,1142
2001.008803,1143
1948.180231,1144
1901.035079,1145
1865.939663,1146
1847.100753,1147
1845.685659,1148
1856.88867,1149
1874.41269,1150
1889.940981,1151
1895.23757,1152
1885.249256,1153
1858.726616,1154
1817.460584,1155
1767.923674,1156
1717.492441,1157
1674.24571,1158
1643.43427,1159
1628.143021,1160
1627.947178,1161
1638.755317,1162
1655.978018,1163
1673.522352,1164
1686.820814,1165
1693.112647,1166
1692.156685,1167
1686.834028,1168
1680.626869,1169
1677.200261,1170
1680.040771,1171
1688.248757,1172
1700.561528,1173
1712.938286,1174
1721.690566,1175
1722.737183,1176
1713.704945,1177
1694.883272,1178
1668.548737,1179
1640.114055,1180
1615.641417,1181
1601.610282,1182
1602.645367,1183
1619.858632,1184
1650.46493,1185
1689.793024,1186
1729.664003,1187
1762.275203,1188
1781.449362,1189
1784.51466,1190
1772.156341,1191
1750.515215,1192
1728.063626,1193
1714.175638,1194
1718.042567,1195
1744.228585,1196
1792.881487,1197
1858.851102,1198
1966.964802,1199
2034.976751,1200
2085.849947,1201
2111.013942,1202
2106.577468,1203
2074.458787,1204
2022.084104,1205
1960.491444,1206
1901.364872,1207
1855.850406,1208
1830.717735,1209
1828.163718,1210
1844.358835,1211
1872.996354,1212
1904.63243,1213
1931.350398,1214
1946.5911,1215
1948.498107,1216
1938.022845,1217
1918.907086,1218
1896.421708,1219
1874.53862,1220
1855.843486,1221
1841.50165,1222
1829.159394,1223
1817.744989,1224
1805.499257,1225
1791.859945,1226
1778.4139,1227
1769.200669,1228
1768.563593,1229
1780.484742,1230
1808.674153,1231
1853.005303,1232
1910.757574,1233
1976.457257,1234
2043.271838,1235
2104.45014,1236
2154.150828,1237
2191.008591,1238
2215.136078,1239
2230.965495,1240
2243.443553,1241
2258.968,1242
2281.504729,1243
2313.536507,1244
2354.662144,1245
2401.709118,1246
2450.13645,1247
2495.61545,1248
2534.409491,1249
2565.494237,1250
2587.257945,1251
2601.800828,1252
2609.171682,1253
2608.847663,1254
2600.306037,1255
2581.802512,1256
2551.898717,1257
2510.234265,1258
2458.440468,1259
2400.684494,1260
2341.310196,1261
2286.49115,1262
2241.121138,1263
2207.023906,1264
2182.990599,1265
2163.966059,1266
2142.755222,1267
2111.794516,1268
2066.197908,1269
2003.513732,1270
1928.489936,1271
1848.891372,1272
1775.815034,1273
1719.759693,1274
1689.534223,1275
1687.136605,1276
1707.626514,1277
1741.437109,1278
1774.043771,1279
1792.582422,1280
1786.489665,1281
1751.96827,1282
1692.386602,1283
1617.035212,1284
1539.839015,1285
1475.975943,1286
1437.229466,1287
1428.758809,1288
1451.516054,1289
1520.933469,1290
1602.007992,1291
1709.701351,1292
1832.330833,1293
1961.878922,1294
2095.113529,1295
2228.117813,1296
2359.055355,1297
2483.161614,1298
2593.897035,1299
2684.374839,1300
2746.946436,1301
2777.637985,1302
2775.863458,1303
2745.699027,1304
2695.889552,1305
2637.535194,1306
2587.081504,1307
2553.133211,1308
2546.80774,1309
2570.046674,1310
2618.585766,1311
2684.404695,1312
2753.67155,1313
2813.728496,1314
2853.141508,1315
2864.499237,1316
2847.010973,1317
2805.461974,1318
2748.392362,1319
2686.959152,1320
2566.832977,1321
2522.572952,1322
2489.326777,1323
2463.954968,1324
2438.251281,1325
2403.547629,1326
2352.387898,1327
2280.864941,1328
2189.818304,1329
2086.90559,1330
1982.446041,1331
1890.119583,1332
1820.827345,1333
1781.873799,1334
1775.230585,1335
1795.389298,1336
1832.655686,1337
1867.385796,1338
1891.332894,1339
1887.205324,1340
1851.04151,1341
1784.262754,1342
1694.459856,1343
1594.149326,1344
1498.105029,1345
1420.609342,1346
1372.114851,1347
1356.145238,1348
1370.887827,1349
1407.678689,1350
1453.595648,1351
1496.421396,1352
1525.615272,1353
1534.356128,1354
1522.538488,1355
1493.578539,1356
1455.773378,1357
1418.617064,1358
1390.029291,1359
1375.545767,1360
1376.734653,1361
1390.42626,1362
1410.944898,1363
1431.811197,1364
1446.25097,1365
1450.268576,1366
1442.35085,1367
1424.380038,1368
1400.452189,1369
1376.639124,1370
1357.670457,1371
1347.630816,1372
1348.09052,1373
1357.312649,1374
1373.76267,1375
1393.768761,1376
1413.225216,1377
1429.511702,1378
1441.149467,1379
1448.00836,1380
1452.092683,1381
1457.501738,1382
1467.941985,1383
1487.458507,1384
1518.20703,1385
1560.867784,1386
1613.674193,1387
1673.767195,1388
1736.777862,1389
1797.73917,1390
1852.33064,1391
1897.10226,1392
1934.699228,1393
1962.864698,1394
1985.605771,1395
2007.120434,1396
2028.410058,1397
2051.875979,1398
2077.777565,1399
2105.914082,1400
2134.118865,1401
2160.153932,1402
2183.222606,1403
2203.797693,1404
2224.526587,1405
2248.48171,1406
2278.793453,1407
2317.288656,1408
2309.556218,1409
2361.35404,1410
2414.670428,1411
2463.407645,1412
2499.909578,1413
2518.713511,1414
2515.985018,1415
2491.522292,1416
2449.866145,1417
2397.759507,1418
2343.488752,1419
2296.491385,1420
2264.648057,1421
2253.244025,1422
2264.667145,1423
2297.710662,1424
2347.846223,1425
2409.438147,1426
2474.938409,1427
2537.346191,1428
2590.528639,1429
2630.03682,1430
2651.929426,1431
2656.574591,1432
2645.305578,1433
2620.99346,1434
2588.264547,1435
2551.668815,1436
2515.555539,1437
2484.007074,1438
2459.403166,1439
2442.309358,1440
2431.206391,1441
2422.351042,1442
2410.598682,1443
2390.48091,1444
2358.011903,1445
2311.24182,1446
2249.97837,1447
2177.676982,1448
2099.012503,1449
2019.263979,1450
1943.385049,1451
1875.585791,1452
1818.955391,1453
1775.411932,1454
1743.132409,1455
1721.975527,1456
1708.093827,1457
1697.761488,1458
1687.497438,1459
1675.007301,1460
1658.381574,1461
1637.108904,1462
1611.959977,1463
1583.643776,1464
1553.580018,1465
1522.530249,1466
1491.474378,1467
1461.260372,1468
1431.775706,1469
1402.684845,1470
1373.518371,1471
1343.11076,1472
1310.847296,1473
1277.037051,1474
1242.984381,1475
1210.700341,1476
1183.04204,1477
1162.638551,1478
1151.350999,1479
1149.707292,1480
1156.576438,1481
1170.96005,1482
1190.591701,1483
1214.530398,1484
1241.793821,1485
1272.721247,1486
1307.342333,1487
1346.294872,1488
1389.678849,1489
1437.215096,1490
1487.582288,1491
1538.323126,1492
1587.196209,1493
1631.753652,1494
1671.435263,1495
1706.365076,1496
1740.261939,1497
1776.708091,1498
1820.733382,1499
1876.018003,1500
1944.647104,1501
2025.530121,1502
2106.431863,1503
2187.274321,1504
2251.872265,1505
2294.409685,1506
2309.833371,1507
2297.360372,1508
2259.116459,1509
2203.415921,1510
2140.603727,1511
2082.419772,1512
2038.906558,1513
2016.454871,1514
2016.943722,1515
2037.946038,1516
2072.956436,1517
2079.460264,1518
2094.629416,1519
2074.331689,1520
2016.172025,1521
1922.083031,1522
1806.415646,1523
1663.648157,1524
1518.479691,1525
1388.733267,1526
1290.247164,1527
1234.255017,1528
1217.469916,1529
1261.916055,1530
1349.605987,1531
1466.068369,1532
1595.20848,1533
1721.437792,1534
1830.766325,1535
1913.091839,1536
1962.094429,1537
1975.09131,1538
1953.64745,1539
1901.891006,1540
1826.211987,1541
1734.035575,1542
1633.279608,1543
1532.343681,1544
1438.125742,1545
1357.505249,1546
1295.790723,1547
1256.903577,1548
1242.124515,1549
1250.737938,1550
1279.301682,1551
1322.847482,1552
1436.120245,1553
1492.380946,1554
1546.92399,1555
1596.808056,1556
1640.187498,1557
1677.806445,1558
1712.537495,1559
1745.667036,1560
1780.200091,1561
1815.428779,1562
1850.288214,1563
1880.561255,1564
1901.709317,1565
1909.173758,1566
1899.315355,1567
1871.931339,1568
1828.440498,1569
1774.720156,1570
1717.449441,1571
1664.798353,1572
1623.374037,1573
1597.679708,1574
1588.561838,1575
1595.48962,1576
1614.275682,1577
1640.452528,1578
1670.330624,1579
1701.0681,1580
1731.595864,1581
1763.455308,1582
1799.019449,1583
1840.563795,1584
1888.932277,1585
1941.773692,1586
1996.475114,1587
2047.96599,1588
2091.733665,1589
2126.657115,1590
2152.835116,1591
2172.793728,1592
2192.140843,1593
2216.542486,1594
2251.075033,1595
2297.845044,1596
2356.316051,1597
2421.610552,1598
2486.620572,1599
2543.78874,1600
2587.668047,1601
2616.068479,1602
2631.550734,1603
2640.25941,1604
2653.065706,1605
2678.924076,1606
2724.611035,1607
2792.053926,1608
2875.523332,1609
2962.819161,1610
3038.908471,1611
3087.353324,1612
3095.999505,1613
3057.742071,1614
2974.130605,1615
2855.474865,1616
2717.843532,1617
2581.940981,1618
2467.724812,1619
2391.298381,1620
2361.219703,1621
2377.120183,1622
2430.451533,1623
2506.984784,1624
2590.048755,1625
2663.903587,1626
2717.374673,1627
2744.999489,1628
2747.072698,1629
2728.565639,1630
2696.175083,1631
2656.707771,1632
2615.125029,1633
2572.127972,1634
2526.108669,1635
2473.18753,1636
2410.484309,1637
2282.22632,1638
2197.790801,1639
2109.010205,1640
2023.947205,1641
1951.466405,1642
1900.431773,1643
1875.158202,1644
1876.280138,1645
1898.98475,1646
1934.507832,1647
1971.499274,1648
1999.02405,1649
2009.085509,1650
1997.43595,1651
1965.090372,1652
1916.973588,1653
1860.496663,1654
1803.484775,1655
1752.253901,1656
1709.846806,1657
1675.5482,1658
1646.145941,1659
1617.473373,1660
1585.923703,1661
1551.626052,1662
1516.860583,1663
1489.032528,1664
1475.150528,1665
